movie_no,movie_name,movie_year,movie_certificate,movie_runtime,movie_genre,movie_score,movie_gross,movie_director,movie_star,movie_writer,tomatoter,audience
0,Breaking A Monster,2016,NR,92 minutes,Documentary,,,Luke Meyer,"Malcolm Brickhouse, Alec Atkins, Jarad Dawkins, Alan Sacks, Nile Rodgers, Jimmy Webb, Q-Tip, Samantha Sacks, Alex Suarez, Annette Van Duren, Douglas Wimbish","Luke Meyer, Brad Turner",100%,56%
1,Annie,2014,PG,118 minutes,"Drama, Kids & Family, Musical & Performing Arts",,"$58,614,089",Will Gluck,"Jamie Foxx, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, Zoe Margaret Colletti, Nicolette Pierini, Eden Duncan-Smith, Amanda Troya, Dorian Missick, Tracie Thoms, Mike Birbiglia, Quvenzhane Wallis, Stephanie Kurtzuba, Peter Van Wagner, Ray Iannicelli, Michael J. Fox, Jill Nicolini, Raushanna Simmons, Brad Bong, Andrew Fleming, Ty Jones, Jessica Sherr, Donnamarie Recco, Víctor Cruz, Mimi Bessette, Ryan DeLuca, Danny Flaherty, Gordon Joseph Weiss, Patricia Clarkson, Brendan Burke, Allison Jean White, Sia Furler, Taryn Gluck, Alexandra Gluck, Derrick Baskin, Pernell Walker, Lannon Killea, Molly Prather, Bobby Moynihan, Mila Kunis, Ashton Kutcher, Rihanna, Scarlett Benchley, Pat Kiernan, Beth Rowe, Lytle Harper, Brittany Connors, Aldous Davidson, Lance Kerfuffle, Kevin Cannon, J. Kaitlin Becker, Alan Purwin, Ben Skorstad, Gia Henderson, Mark Whitfield, Matthew Rush Sullivan, Sade DeMorcy, Brittany Parks, Emma Wetzel, Hannah Green, Joseph Mancini, Alex Rubiano, Eliza David, Tymell Hubbard, Josh Price, Sofia Rubino","Will Gluck, Emma Thompson, Aline Brosh McKenna",28%,59%
2,The Revival,2018,NR,84 minutes,"Drama, Gay & Lesbian",,,Jennifer Gerber,"David Rysdahl, Zachary Booth, Raymond McAnally, Lucy Faust, Stephen Ellis","Samuel Brett Williams, Jennifer Gerber",83%,60%
3,The New Radical,2017,NR,117 minutes,Documentary,,,Adam Bhala Lough,"Cody Wilson, Amir Taaki",Adam Bhala Lough,58%,
4,The Secret Lives Of Dorks,2013,PG-13,91 minutes,Comedy,,,Salomé Breziner,"Gaelan Connell, Riley Voelkel, Vanessa Marano, Jim Belushi, Beau Mirchoff, Jennifer Tilly, Mike Ditka, Seymour Cassel, William Katt, Kay Lenz, Charlie Stewart, Mark Daugherty, Escher Holloway, Andrea Bogart, Daina Gozan, Emily Wilson, Tyler Steelman, Kara Taitz, Fortune Feimster","Nicholas David Brandt, Johnny Severin",13%,40%
5,Papadopoulos & Sons,2012,NR,105 minutes,"Art House & International, Comedy, Drama",,,"Marcus Markou, Markos Markou","Stephen Dillane, Cosima Shaw, Georges Corraface, Thomas Underhill, Frank Dillane, Georgia Groome, Ed Stoppard, Selina Cadell","Marcus Markou, Markos Markou",77%,51%
6,The Family,2013,R,112 minutes,"Action & Adventure, Comedy, Drama, Mystery & Suspense",,"$34,600,000",Luc Besson,"Robert De Niro, Michelle Pfeiffer, Tommy Lee Jones, Dianna Agron, John D'Leo, Kresh Novakovic","Tonino Benacquista, Luc Besson",29%,41%
7,The Last King,2016,R,99 minutes,"Action & Adventure, Art House & International, Drama",,"$8,550",Nils Gaup,"Kristofer Hivju, Nikolaj Lie Kaas, Jakob Oftebro, Thorbjørn Harr, Benjamin Helstad, Pål Sverre Hagen, Anders Dahlberg, Jeppe Beck Laursen, Stig Henrik Hoff, Elg Elgesem, Asmund Brede Eike, Adam Nemet, Jon Inge Nordnes, Thea Sofie Loch Naess, Torkel Dommersnes Soldal, Ane Ulimoen Overli",Ravn Lanesskog,75%,43%
8,Arctic Tale,2007,G,86 minutes,"Documentary, Special Interest",,"$598,103","Adam Ravetch, Sarah Robertson","Queen Latifah, Preston Bailey, Kwesi Boakye, Katrina Agate, Zain Ali, Michael Huang, Sierra Marcoux, Dante Pastula, Peyton Pearson, Isabella Erschardt, Christina Robinson, Lili Sepe, Ke'ala Valencia","Linda Woolverton, Mose Richards, Kristin Gore",62%,61%
9,Love Beats Rhymes,2017,R,106 minutes,"Drama, Musical & Performing Arts",,,RZA,"Azealia Banks, Jill Scott, Lucien Laviscount, Lorraine Toussaint, Hana Mae Lee, John David Washington, Common",Nicole Jefferson Asher,50%,77%
10,7 Boxes,2014,PG-13,100 minutes,"Action & Adventure, Art House & International, Mystery & Suspense",,,"Tana Schémbori, Juan Carlos Maneglia","Celso Sebastian Franco Ferreira, Víctor Sosa, Lali González, Dante Nico Garcia, Paletita, Manuel Portillo",Juan Carlos Maneglia,100%,82%
11,bwoy,2017,NR,85 minutes,Drama,,,John G. Young,"Anthony Rapp, De'Adre Aziza, Jimmy Brooks, Drew Allen (IV), Jermaine Rowe, Ashton Randle, Samiyah Thompson, Jonathon Moore",John G. Young,86%,56%
12,The Ultimate Life,2013,PG,105 minutes,Drama,,"$1,326,059",Michael Landon Jr.,"Ali Hillis, Bill Cobbs, Logan Bartholomew, Peter Fonda, Drew Waters, David Mann, Abigail Mavity, Austin James","Brian Bird, Lisa Shillingburg",18%,57%
13,John Wick,2014,R,96 minutes,Action & Adventure,,,"David Leitch, Chad Stahelski","Keanu Reeves, Michael Nyqvist, Alfie Allen, Adrianne Palicki, Bridget Moynahan, Dean Winters, Ian McShane, John Leguizamo, Willem Dafoe, Omer Barnea, Toby Leonard Moore, Daniel Bernhardt, Bridget Regan, Lance Reddick, Keith Jardine, Tait Fletcher, Kazy Tauginas, Alexander Frekey, Thomas Sadoski, Randall Duk Kim, David Patrick Kelly, Clarke Peters, Kevin Nash, Gameela Wright, Vladislav Koulikov, Munro M. Bonnell, Patricia Squire, Vladimir Troitsky","Joel Zadak, Derek Kolstad",86%,80%
14,Teenage Cocktail,2016,NR,88 minutes,Drama,,,John Carchietta,"Fabianne Therese, Joshua Leonard, Michelle Borth, Nichole O'Connor, AJ Bowen, Pat Healy","Sage Bannick, Chris Sivertson, John Carchietta",100%,54%
15,Anti Matter,2017,NR,105 minutes,"Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy",,,Keir Burrows,"Yaiza Figueroa, Philippa Carson, Tom Barber-Duffy, Noah Maxwell Clarke, James Farrar (III), Yolanda Vazquez, Casey Lawler, Harrie Hayes, Holly Joyce, Julia Savill, Rachel Waring, Joseph Teague, Molly Bas, Dan Shelton, Adrian Tauss, Charlotte Victoria, Jessica Perchard",Keir Burrows,89%,81%
16,The Single Moms Club,2014,PG-13,111 minutes,"Comedy, Drama",,"$15,986,272",Tyler Perry,"Wendi McLendon-Covey, Nia Long, Amy Smart, Zulay Henao, Cocoa Brown, Tyler Perry, Ryan Eggold, William Levy, Terry Crews, Eddie Cibrian, Katherine Shepler, Cassie Brennan, Massai Z. Dorsey, Vanessa Velasco, DeVion Harris, Marlene Forte, Sean Carrigan, Carmen Argenziano, Brandon Olive, Ashley LeConte Campbell, Kenny Alfonso, Elliott Grey, Alpha Trivette, Dan Chandler, Niki Spiridakos, William E. Jackson, II, Carrie Walrond, Angela Matemotja, Helen Ingebritson, Kendra C. Johnson, Herrari Hamilton, John Doyle, Cranston Johnson, Tasia Grant, Anthony Dalton, Adaline Gruszynski, Gabriel Lopez, Terry Burchett, Sara Vonzine",Tyler Perry,19%,58%
17,The Revenant,2015,R,156 minutes,"Action & Adventure, Drama",,,Alejandro González Iñárritu,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter, Forrest Goodluck, Paul Anderson (XVIII), Lukas Haas, Melaw Nakehk'o, Brad Carter, Brendan Fletcher, Kristoffer Joner, Grace Dove Syme, Kory Grim, Dave Burchill, Christopher Rosamund, Robert Moloney, Vincent Leclerc, Joshua Burge, Christopher Rosamond, Chris Ippolito, Mark Krysko, McCaleb Burnett, Duane Howard, Fabrice Adde, Arthur Redcloud, Tyson Wood, Stephane Legault, Amelia Crow Shoe, Emmanuel Bilodeau, Peter Strand Rumple, Cole Vandale, Tom Guiry, Scott Olynek, Jamie Medicine Crane, Timothy Lyle, Chesley Wilson, Veronica Marlowe, Clarence Hoof, Adrian McMorran, Alexandre Bisping, Dion Little Child, C. Adam Leigh, Blake Wildcat, Paul Young Pine, Javiar Lopez, Cody Big Tobacco, Haysam Kadri, Dallas Young Pine, Anthony Starlight, Michael Fraser, Scott Duncan, Mariah Old Shoes, Isaiah Tootoosis, Jeffrey Olynek, Kevin Corey, Daniel Rampanen, Jordan Crawford","Mark L. Smith, Alejandro González Iñárritu",80%,84%
18,Norman,2017,R,118 minutes,Drama,,"$3,814,868",Joseph Cedar,"Richard Gere, Lior Ashkenazi, Michael Sheen, Charlotte Gainsbourg, Steve Buscemi, Dan Stevens (IV), Hank Azaria, Josh Charles",Joseph Cedar,89%,57%
19,Leave The World Behind,2014,NR,95 minutes,"Documentary, Musical & Performing Arts",,,Christian Larson,"Axel Axwell Hedfors, Steve Angello, Sebastian Ingrosso",,71%,82%
20,Go For Sisters,2013,NR,122 minutes,Drama,,"$55,963",John Sayles,"LisaGay Hamilton, Edward James Olmos, Yolonda Ross, Hector Elizondo, Isaiah Washington, Mahershala Ali, Michael Laskin, Harold Perrineau, Jacob Vargas, Tessa Ferrer, Hilary Barraford, Michael Piznarski, Mary Portser, Don Harvey, Brent Jennings, Rita Taggart, Jonathan Castellanos, Thai Phuong, Vanessa Martinez, Evelina Fernandez, Sal Lopez, Manny Montana, Jesse Borrego, Andy Zuno, Elizabeth Sung, Martha Higareda, Alejandro Cardenas, Richard Coca, Omar Leyva, Dominic Colón, Javier Calderon, Jessica Pimentel, Cesar Alejandro, McKinley Belcher III",John Sayles,73%,53%
21,Despicable Me 2,2013,PG,98 minutes,"Animation, Comedy, Kids & Family",,"$368,049,635","Pierre Coffin, Chris Renaud","Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove, Russell Brand, Ken Jeong, Al Pacino, Steve Coogan, Elsie Fisher, Dana Gaier, Moises Arias, Nasim Pedrad, Kristen Schaal, Pierre Coffin, Chris Renaud, Nickolai Stoilov, Vanessa Bayer","Cinco Paul, Ken Daurio",74%,85%
22,Batman v Superman: Dawn of Justice,2016,PG-13,151 minutes,"Action & Adventure, Science Fiction & Fantasy",,"$293,792,936",Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Diane Lane, Laurence Fishburne, Gal Gadot, Jesse Eisenberg, Jeremy Irons, Ray Fisher, Jason Momoa, Holly Hunter, Scoot McNairy, Callan Mulvey, Tao Okamoto, Brandon Spink, Mark Edward Taylor, Lauren Cohan, Alan Purwin, Hugh Maguire, Michael Shannon, Tiffany Addison, Hanna Dworkin, Owais Ahmed, Anish Jethmalani, Tiffany Bedwell, Keith D. Gallagher, Ripley Sobo, Natalee Arteaga, Richard Burden, Jeff Dumas, Julius Tennon, Miriam Lee, Sammi Rotibi, Michael Cassidy, Alicia Regan, Wunmi Mosaku, Dennis North, Matahi Drollet, Kiff VandenHeuvel, Mormon Maitui, Mason Heidger, Taraina Sanford, Whitney Yang, Kristine Cabanban, Sebastian Sozzi, Kent Shocknek, Ralph Lister, Sammy Publes, Jay Adams, Julia Glander, Rebecca Buller, Michael D. Ellison, Kirill Ostapenko, Cleve McTier, Rashontae Wawrzyniak, Harry Lennix, Christina Wren, Tom Luginbill, Dave Pasch, David Midura, Danny Mooney, Henry Frost, Jay Towers, Nicole Forester, Debbie Stabenow, Jade Chynoweth, Aida Munoz, Bevin Kowal, Vikram Gandhi, Andrew Sullivan, Charlie Rose, Chad Krowchuk, Dr. Neil deGrasse Tyson, Milica Govich, John Lepard, Sandra Love Aldridge, Soledad O'Brien, Chris Newman, Carmen Ayala, Josh Carrizales, Dana Bash, James Quesada, Lulu Dahl, John Seibert, Sam Logan Khaleghi, Connie Craig, Patrick Leahy, Carla Gugino, David Dailey Green, Madison Autumn Mies, Thomas M. Taylor, Graham W.J. Beal, Henri Franklin, Jonathan West, T.J. Martinelli, Thom Kikot, Liam Tailford, Zachary JI Schafer, Monrico Ward, Anne Marie Damman, Henrietta Hermelin","Zack Snyder, David S. Goyer, Chris Terrio",27%,63%
23,A Little Chaos,2015,R,116 minutes,"Art House & International, Drama",,"$551,609",Alan Rickman,"Kate Winslet, Matthias Schoenaerts, Alan Rickman, Stanley Tucci, Helen McCrory, Jennifer Ehle, Thomas Allam, Hope Hancock, Isabella Steinbarth, Hal Hewetson, Carolina Valdés, Eleanor Montgomery, Danny Webb, Cathy Belton, Steven Waddington, Adrian Scarborough, Adrian Schiller, Ben Fox, Morgan Watkins, Angus Wright, Alistair Petrie, Rupert Penry-Jones, Mia Threapleton, Henry Garrett, Jamie Bradley, Andrea Paula Paul, Richard Heap, Lois Wright, David Foxxe, William Spray, Fidelis Morgan, Pauline Moran, Michelle Newell, Kirsty Oswald, Phyllida Law, Ben Roberts, John Wark, Robin Hooper, Kristin Milward, Adam James, William Allam","Alison Deegan, Jeremy Brock, Alan Rickman",45%,48%
24,Wild,2014,R,115 minutes,Drama,,"$24,673,716",Jean-Marc Vallée,"Reese Witherspoon, Thomas Sadoski, Michiel Huisman, W. Earl Brown, Gaby Hoffmann, Kevin Rankin, Laura Dern, Mo McRae, Keene McRae, Brian Van Holt, Cliff De Young, Will Cuddy, Leigh Parker, Nick Eversman, Ray Mist, Randy Schulman, Cathryn de Prume, Kurt Conroyd, Ted DeChatelet, Jeffree Newman, Lorraine Bahr, Jerry Carlton, Kevin Michael Moore, Debra Pralle, Gray Eubank, Anne Sorce, Charles Baker (II), J.D. Evermore, Beth Hall, Jan Hoag, Carlee McManus, Art Alexakis, Anne Gee Byrd, Evan O'Toole, Jeanine Jackson, Jason Newell, Barry O'Neill, Barry O'Neil, Richard Morris, Bobbi Strayed Lindstrom, Robert Alan Barnett, William Nelson, Tony Doupe, Dan Considine, Andrew Saunderson, Greg James (XII), Orianna Herrman, Brian Borcherdt, Eric D. Johnson, Matt Pascua, Edric Carter, Matthew Noyes, John Dickerson, Jr., Denise McSweeny, Alina Gatti, Henry Shotwell, Cheryl Strayed",Nick Hornby,90%,75%
25,Their Finest,2017,R,110 minutes,"Comedy, Drama, Romance",,"$3,595,841",Lone Scherfig,"Gemma Arterton, Bill Nighy, Sam Claflin, Jack Huston, Jake Lacy, Richard E. Grant, Paul Ritter, Rachael Stirling, Henry Goodman, Jeremy Irons, Eddie Marsan, Helen McCrory, Hubert Burton, Claudia Jessie, Stephanie Hyam",Gaby Chiappe,90%,72%
26,Extinction,2015,R,110 minutes,"Drama, Horror, Mystery & Suspense",,,Miguel Ángel Vivas,"Matthew Fox, Jeffrey Donovan, Quinn McColgan, Valeria Vereau, Clara Lago, Eduardo Fedriani, Matt Devere, Alex Hafner, Jeremy Wheeler, Katharine Bubbear, Lili Bordán, Julio Perillan, Daniel Bargueño, Adam Zambryzcki, Orsolya Bene","Alberto Marini, Miguel Ángel Vivas",25%,33%
27,Shock Wave,2017,NR,119 minutes,"Action & Adventure, Art House & International",,,,"Andy Lau, Jai Day, Jiang Wu, Julian Gaertner, Rayve Zen",Herman Yau,83%,55%
28,Justice League Dark,2017,R,66 minutes,"Action & Adventure, Animation, Science Fiction & Fantasy",,,Jay Oliva,"Rosario Dawson, Camilla Luddington, Jeremy Davies, Jerry O'Connell, Jason O'Mara, Alfred Molina, Matt Ryan, Dee Bradley Baker, Enrico Colantoni, Fred Tatasciore, Nicholas Turturro","Ernie Altbacker, J.M. DeMatteis",71%,67%
29,The Returned,2014,NR,98 minutes,"Art House & International, Horror, Mystery & Suspense",,,Manuel Carballo,"Kristen Holdenreid, Emily Hampshire, Shawn Doyle, Claudia Bassols, Barry Flatman, Melina Matthews, Paulino Nunes",Hatem Khraiche,58%,37%
30,All The Wilderness,2015,NR,80 minutes,Drama,,,Michael Louis Johnson,"Kodi Smit-McPhee, Virginia Madsen, Isabelle Fuhrman, Evan Ross, Danny DeVito, Hannah Barefoot, Jacob Block, Brady James, Tabor Helton, Pat Janowski, Simos Kalivas, Brent Kublick, Dan Considine, Timothy Levine",Michael Johnson,63%,41%
31,X-Men: Days of Future Past,2014,PG-13,131 minutes,"Action & Adventure, Science Fiction & Fantasy",,"$199,305,306",Bryan Singer,"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Patrick Stewart, Ian McKellen, Nicholas Hoult, Peter Dinklage, Omar Sy, Bingbing Fan, Daniel Cudmore, Booboo Stewart, Evan Peters, Anna Paquin, Lucas Till, Halle Berry, Shawn Ashmore, Ellen Page, Evan Jonigkeit, Adán Canto, Josh Helman, Mark Camacho, Alexander Felici, Jan Gerste, Massimo Cannistraro, Mike Dopud, Lee Villeneuve, Andreas Apergis, Robert Montcalm, Greg Lowe, Jaa Smith-Johnson, Alex Ivanovici, Patricia Tougas, Alain Dahan, Michael Lerner, Chris Claremont, Lenn Wein, François Paquette, Zabryna Guevara, Zehra Leverman, Angela Galuppo, Milo Chang Sigel, Kiana Chang Sigel, Kyle Gatehouse, Jean-Sebastien Côté, Stéphane Julien, Taris Tyler, Darryl Scheelar, Thai-Hoa Le, Johnny Tran, Gregory Hlady, Dan Quoc Thinh, Vladimir Aksenov, Jimmy Chan, Julian Casey, Robert Crooks, Matt Cooke, Tim Post, Jason Deline, Karine Vanasse, Pierre Yves Leblanc, Jude Beny, Arthur Holden, Sean Curley, Susanna Fournier, Andrew Peplowski, John Moore (XXXVIII), Moe Jeudy-Lamour, Harry Standjofski, Brianna Bone, Neil Napier, Jason Koehler, Miya Shelton-Contreras","Jane Goldman, Matthew Vaughn, Simon Kinberg",90%,91%
32,Little Fauss and Big Halsy,1970,R,99 minutes,"Action & Adventure, Drama",,,Sidney J. Furie,"Robert Redford, Michael J. Pollard, Lauren Hutton, Noah Beery Jr., Lucille Benson, Ray Ballard, Linda Gaye Scott, Linda Scott, Erin O'Reilly, Ben Archibek, Shara St. John",Charles Eastman,20%,43%
33,SX_Tape,2014,NR,82 minutes,Drama,,,Bernard Rose,"Caitlyn Folley, Ian Duncan, Daniel Faraldo, Diana García, Eric Neil Gutierrez, Julie Marcus",Eric Reese,25%,8%
34,Nightingale,2015,PG-13,83 minutes,"Drama, Mystery & Suspense",,,Elliott Lester,"David Oyelowo, Barlow Jacobs, Heather Storm",Frederick Mensch,81%,60%
35,The Grace of Jake,2017,NR,90 minutes,Drama,,,Chris Hicky,"Jake La Botz, Michael Beck, Dorien Wilson, Lew Temple, Jordin Sparks, Ravi Kapoor",Chris Hicky,80%,78%
36,Where Hope Grows,2015,PG-13,98 minutes,"Drama, Faith & Spirituality",,,Chris Dowling,"Kristoffer Polaha, David DeSanctis, William Zabka, Brooke Burns, McKaley Miller, Alan Powell, Danica McKellar, Kerr Smith, Michael Grant (XIV), Clyde Jones, Andrew Cash, Drew Cash, J. Teddy Garces, Eric Chase Anderson, Sonya Thaper, Michelle Fine, Ken Arnold, Daniel Harrison Smith, Rebecca Lines, John A. Calhoun, J. Michael Breaux, Richard Hagerman, Phillip DeLaney, Phil Russell, Laura L. Parris, Robert Johnson",Chris Dowling,46%,75%
37,The Trust,2016,R,106 minutes,Drama,,,"Alex Brewer, Benjamin Brewer","Nicolas Cage, Elijah Wood, Jerry Lewis, Kevin Weisman, Steven Williams, Sky Ferreira, Alexandria Lee, Ethan Suplee, Kenna James, Carl ""Carlito"" J. Windom, Lisa Mack, Marc D. Donovan, Keston John, Joe Palubinsky, Tommie Vegas, Jay Hieron, Eric Heister, Marc Donovan, Ronnie Thurmand Jr., Erica Vanlee, Tommy Vegas, Christie Beran, Jeff Manning, Ronnie Thurmand Jr., Jeff Howard, Reagan Pfifer, Ashley LeConte Campbell, Vanessa Christelle, Paul Vato, Xin Yi Gan, Zhang Jianming, Marcus Weiss, James D. Smith Jr., Lisa Gardner","Adam Hirsch, Benjamin Brewer",63%,28%
38,Criminal,2016,R,113 minutes,"Action & Adventure, Drama, Mystery & Suspense",,,Ariel Vromen,"Kevin Costner, Gary Oldman, Tommy Lee Jones, Ryan Reynolds, Robert Davi, Jordi Molla, Gal Gadot, Michael Pitt, Amaury Nolasco, Alice Eve, Antje Traue, Scott Adkins, Lara Decaro, Freddy Bosche, Emmanuel Imani, Harry Hepple, Doug Cockle, Colin Salmon, Steve Nicolson, Sope Dirisu, Gisella Marengo, Mark Kempner, Michael Bodie, Joshua James, Samantha Coughlan, Danny Webb, David Avery, Joe Fidler, Michael Webber, Richard Reid, Katharine Gwen, Joanna Brookes, Matthew Steer, Andrew Byron, Kelly Clare, Elizabeth Ross, James Richard Marshall, Henry Garrett, Tim Woodward, Lotte Rice, Nathan Osgood, Sarah Middleton, Dragos Savulescu, Priyanga Burford, Steven Brand, Piers Morgan, Louis Tamone, Tamer Dogem, Ian Burfield, Diana Dimitrovici, Amina Zia, Rio Fredrika Debolla, Natalie Marie Ames, Luca Giorgio Maggiora, Mark Smith, Samuel Turner O'Toole, Mark Underwood","Douglas S. Cook, David Weisberg",30%,47%
39,The Final Member,2014,R,75 minutes,"Comedy, Documentary, Special Interest",,,"Zach Math, Jonah Bekhor","Sigurdur ""Siggi"" Hjartarson, Tom Mitchell, Pall Arason",,92%,64%
40,Court,2015,NR,116 minutes,Drama,,,Chaitanya Tamhane,"Chaitanya Tamhane, Geetanjali Kulkarni, Vira Sathidar, Vivek Gomber, Usha Bane, Shirish Pawar, Chaitanya Tamhane, Brad Virata, Pradeep Joshi",Chaitanya Tamhane,100%,80%
41,Saint Laurent,2015,R,135 minutes,"Art House & International, Drama, Special Interest",,,Bertrand Bonello,"Gaspard Ulliel, Jérémie Renier, Louis Garrel, Léa Seydoux, Amira Casar, Valeria Bruni Tedeschi, Helmut Berger, Valérie Donzelli, Aymeline Valade, Micha Lescot, Jasmine Trinca, Dominique Sanda, Vittoria Scognamiglio, Brady Corbet, Bertrand Bonello","Bertrand Bonello, Thomas Bidegain",60%,39%
42,Vincent N Roxxy,2017,R,102 minutes,Drama,,,Gary Michael Schultz,"Emile Hirsch, Zoë Kravitz, Emory Cohen, Zoey Deutch, Beau Knapp, Jason Mitchell, Scott ""Kid Cudi"" Mescudi","Gary Michael Schultz, Keith Kjarval",41%,68%
43,It Felt Like Love,2014,NR,82 minutes,Drama,,"$31,173",Eliza Hittman,"Gina Piersanti, Giovanna Salimeni, Ronen Rubinstein, Jesse Cordasco, Nick Rosen, Case Prime",Eliza Hittman,84%,43%
44,Delivery Man,2013,PG-13,103 minutes,Comedy,,"$30,659,817",Ken Scott,"Vince Vaughn, Cobie Smulders, Chris Pratt, Jack Reynor, Britt Robertson, Dave Patten, Bobby Moynihan, Chris Hernandez, Camille Kitt, Erin Gerasimovich, Matthew Daddario, Ben Bailey, Vanessa Coelho, Kennerly Kitt, Leslie Ann Glossner, Takako Haywood, Glenn Fleshler, Chris Nunez, Georgie Lalov, Finnerty Steeves, Alex Hartman, Andrew Pagliara, Peter Kim, Zivile Kaminskaite, Nicole Newman, Kiff VandenHeuvel, Simon Delaney, Kaitlyn M. Burgoon, Shawn Gonzalez, Stephen Ellis, Joseph Basile, James Thomas Bligh, Adam Chanler-Berat, Logan Kulick, Michael Oberholtzer, Van Hughes, Malcolm Halaszynski, Joseph Urban, Alexander Flores, Derrick Arthur, Jessica Williams, Sebastien René, Kevin Hopkins, Zachary Hernandez, Kyle Sutton, Lynda Gravatt, Starla Benford, Damian Young, Don Guillory, Richard Poe, Jessica Abo, Crawford Logan, Andrzej Blumenfeld, Amos VanderPoel, Alice Gainer, Darin Guerrasio, Jonah Nathan, Bruce Altman, Matthew Walters, Stephanie Berry, Joseph Tudisco, Akim Black, Kate Dalton, Gabe Doran, Matt Blumm, Mark Zimmerman, Angela Bellotte, Charlie Romanelli, Pasha Pellosie, Connor Fox, Isaac H.W. Joseph, Jay Leno, Bill Maher, Nancy Nagrant, Jaime Lynn Weisman, Pantea Karimi",Ken Scott,39%,47%
45,Hangman,2017,R,98 minutes,"Drama, Mystery & Suspense",,,Johnny Martin,"Brittany Snow, Al Pacino, Karl Urban, Sarah Shahi, Joe Anderson (VI), Chelle Ramos","Michael Caissie, Charles Huttinger, Phil Hawkins",6%,27%
46,The Kidnapping of Michel Houellebecq,2015,NR,93 minutes,"Comedy, Drama",,,Guillaume Nicloux,"Michel Houellebecq, Luc Schwarz, Mathieu Nicourt, Maxime Lefrançois, Françoise Lebrun, Ginette Suchotzky, Andre Suchotzky, Marie Bourjala, Francois Samuelson",Guillaume Nicloux,91%,67%
47,Runoff,2015,R,90 minutes,Drama,,"$7,465",Kimberly Levin,"Joanne Kelly, Tom Bower, Alex Shaffer, Rashel Bestard, Darlene Hunt, Neal Huff, Joseph Melendez, Brad Koed, Kivlighan DeMontebello",Kimberly Levin,83%,79%
48,Lilting,2014,NR,91 minutes,Drama,,,Hong Khaou,"Ben Whishaw, Pei-pei Cheng, Andrew Leung, Peter Bowles, Naomi Christie, Morven Christie, Shane Salter, Peter E. Hopkins, John Matthews, Leila Wong",Hong Khaou,83%,80%
49,Burt's Buzz,2014,NR,88 minutes,"Documentary, Special Interest",,,Jody Shapiro,"Burt Shavitz, Priscilla Potter, Bruce Tibbetts, A.C. Kulik, Nick Vlahos, Trevor Folsom, Carl Shavitz, Lucas St. Clair, Lucas St.Clair, Cindy Lin, Brooks Juhring",,75%,49%
50,The Wedding Plan,2017,PG,110 minutes,"Art House & International, Comedy, Drama, Romance",,"$1,409,102",Rama Burshtein,"Noa Koler, Oz Zehavi, Jonathan Rozen, Udi Persi, Irit Sheleg, Amos Tamam, Dafi Alferon, Ronny Merhavi, Oded Leopold",Rama Burshtein,86%,65%
51,Easy Living,2017,NR,80 minutes,"Comedy, Drama, Mystery & Suspense",,,Adam Keleman,"Caroline Dhavernas, McCaleb Burnett, Elizabeth Marvel, Charlie Hofheimer, Jen Richards, Daniel Eric Gold, C.J. Wilson, David Aaron Baker, Quincy Tyler Bernstine",Adam Keleman,71%,85%
52,10 Cloverfield Lane,2016,PG-13,90 minutes,"Drama, Mystery & Suspense, Science Fiction & Fantasy",,"$59,481,553",Dan Trachtenberg,"Mary Elizabeth Winstead, John Goodman, John Gallagher Jr., Bradley Cooper, Cindy Hogan, Mat Vairo, Maya Erskine, Douglas M. Griffin, Suzanne Cryer, Jamie Clay, Sumalee G. Montano, Frank Mottek","Josh Campbell, Matthew Stuecken, Damien Chazelle",90%,79%
53,4 Minute Mile,2014,PG-13,95 minutes,Drama,,,Charles-Olivier Michaud,"Kelly Blatz, Richard Jenkins, Kim Basinger, Cam Gigandet, Analeigh Tipton, Aaron Washington, Rhys Coiro, Gerald Grissette, David Brown-King, Daniel Oliver, Dylan Arnold, LaVon Hardison, Josh Feinsilber, Andrew Haggerty, Ernie Joseph, Sherril Johnson, Jeff Ish Thomason, Deidre Harmon, Gavin McLeroy, Matthew Smith, Rob Bradstreet, Elle Fowler, Blair Fowler, Courtney DiSalle, Michael Magnussen","Josh Campbell, Jeff Van Wie",29%,45%
